"","speciation_initiation_rate","speciation_completion_rate","extinction_rate","crown_age","crown_age_sigma","sampling_method","mutation_rate","sequence_length","mcmc_length","minimal_ess","tree_sim_rng_seed","alignment_rng_seed","beast2_rnd_seed","median_nltt"
"1",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1100,1,1,0.290782355246753
"2",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1101,1,1,0.00454273993409163
"3",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1102,1,1,0.362811218452558
"4",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1103,1,1,0.229438827320596
"5",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1104,1,1,0.254009015370778
"6",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1105,1,1,0.345349536587204
"7",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1106,1,1,0.277024173793828
"8",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1107,1,1,0.293597381875118
"9",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1108,1,1,0.311447032559428
"10",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1109,1,1,0.17895852092368
"11",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,110,2,1,0.0302458006089307
"12",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1110,1,1,0.326208723546044
"13",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1111,1,2,0.240531227964963
"14",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1112,1,2,0.235242955158186
"15",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1113,1,2,0.287427982084257
"16",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1114,1,2,0.280475765478821
"17",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1115,1,2,0.25130440428284
"18",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1116,1,2,0.2932617664432
"19",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1117,1,2,0.250550636479738
"20",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1118,1,2,0.341569213220676
"21",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1119,1,2,0.00452822970385451
"22",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,111,2,1,0.322632830503619
"23",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1120,1,2,0.00631541368032735
"24",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1121,1,2,0.269194977567374
"25",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1122,2,1,0.00208846497529137
"26",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1123,2,1,0.348782043209678
"27",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1124,2,1,0.325535884670535
"28",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1125,2,1,0.0057158168189193
"29",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1126,2,1,0.00506995687672004
"30",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1127,2,1,0.217209999872566
"31",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1128,2,1,0.226151299357189
"32",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1129,2,1,0.257333745097821
"33",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,112,2,1,0.0237624073322999
"34",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1130,2,1,0.00523461724521256
"35",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1131,2,1,0.00465315252068553
"36",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1132,2,1,0.015149158097675
"37",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1133,2,2,0.297614620913539
"38",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1134,2,2,0.236370446842764
"39",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1135,2,2,0.00293969043758482
"40",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1136,2,2,0.316164466239779
"41",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1137,2,2,0.188383605490737
"42",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1138,2,2,0.312242349379646
"43",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1139,2,2,0.312142909283414
"44",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,113,2,1,0.0382315994196326
"45",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1140,2,2,0.2985311561031
"46",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1141,2,2,0.269838599514066
"47",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1142,2,2,0.293713659729722
"48",0.2,1,0,15,0.01,"youngest",0.05,10000,1000000,200,1143,2,2,0.00384065470799957
"49",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1144,1,1,0.0188379416045534
"50",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1145,1,1,0.018579755419267
"51",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1146,1,1,0.282784188793633
"52",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1147,1,1,0.303355284764529
"53",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1148,1,1,0.0122887694484524
"54",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1149,1,1,0.24497499097381
"55",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,114,2,1,0.028858876906256
"56",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1150,1,1,0.261130772901891
"57",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1151,1,1,0.266417644695228
"58",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1152,1,1,0.0135139618877463
"59",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1153,1,1,0.287604495729468
"60",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1154,1,1,0.236676051545024
"61",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1155,1,2,0.254439077803918
"62",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1156,1,2,0.314212568610397
"63",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1157,1,2,0.0187565178874289
"64",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1158,1,2,0.0114468306894758
"65",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1159,1,2,0.0149490435779784
"66",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,115,2,1,0.0210343188455553
"67",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1160,1,2,0.241703731905189
"68",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1161,1,2,0.271805642057717
"69",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1162,1,2,0.014200514184361
"70",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1163,1,2,0.286213710996087
"71",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1164,1,2,0.0166346334678074
"72",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1165,1,2,0.321757278201264
"73",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1166,2,1,0.0138980033056434
"74",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1167,2,1,0.0145078901976586
"75",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1168,2,1,0.25458184115573
"76",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1169,2,1,0.260117879660838
"77",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,116,2,1,0.0277830974185246
"78",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1170,2,1,0.00946239717172347
"79",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1171,2,1,0.323448632235978
"80",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1172,2,1,0.25968782284937
"81",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1173,2,1,0.268726040003293
"82",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1174,2,1,0.22334237737272
"83",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1175,2,1,0.254879963951779
"84",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1176,2,1,0.0133393092175076
"85",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1177,2,2,0.0266411330646872
"86",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1178,2,2,0.261027942936562
"87",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1179,2,2,0.0131507885275773
"88",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,117,2,1,0.021392350672381
"89",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1180,2,2,0.213254459357449
"90",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1181,2,2,0.203504172666522
"91",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1182,2,2,0.249446600949467
"92",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1183,2,2,0.0246924964638647
"93",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1184,2,2,0.0173271538068675
"94",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1185,2,2,0.313204296799884
"95",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1186,2,2,0.0172691572286828
"96",0.2,1,0,15,0.01,"oldest",0.05,1000,1000000,200,1187,2,2,0.281970484772705
"97",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1188,1,1,0.234685751706555
"98",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1189,1,1,0.351044731294203
"99",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,118,2,1,0.0257844487832111
"100",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1190,1,1,0.00427197745191914
"101",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1191,1,1,0.254277330315844
"102",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1192,1,1,0.345235078296342
"103",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1193,1,1,0.00660058288794954
"104",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1194,1,1,0.00556980203722067
"105",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1195,1,1,0.264252601104344
"106",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1196,1,1,0.279333620050689
"107",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1197,1,1,0.305686648352392
"108",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1198,1,1,0.00534775408837587
"109",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1199,1,2,0.0482454717870677
"110",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,119,2,1,0.00831337578877545
"111",0.2,0.1,0,15,0.01,"youngest",0.05,1000,1000000,200,11,1,2,0.0332471339421643
"112",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1200,1,2,0.00579813087055908
"113",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1201,1,2,0.314342490425397
"114",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1202,1,2,0.264764123106186
"115",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1203,1,2,0.2481344983901
"116",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1204,1,2,0.227768032446612
"117",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1205,1,2,0.240012456975296
"118",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1206,1,2,0.00468323547740704
"119",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1207,1,2,0.00446493101199449
"120",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1208,1,2,0.286328630480483
"121",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1209,1,2,0.21241490956684
"122",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,120,2,1,0.0116374799776055
"123",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1210,2,1,0.279776274191367
"124",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1211,2,1,0.00602474269736013
"125",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1212,2,1,0.261958083347659
"126",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1213,2,1,0.236863788842818
"127",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1214,2,1,0.204297767765656
"128",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1215,2,1,0.274573107633623
"129",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1216,2,1,0.261218052170261
"130",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1217,2,1,0.288712302535409
"131",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1218,2,1,0.306144561777066
"132",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1219,2,1,0.25805394033035
"133",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,121,2,2,0.0343146757989074
"134",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1220,2,1,0.00413414205720334
"135",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1221,2,2,0.194543904598168
"136",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1222,2,2,0.302594403230853
"137",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1223,2,2,0.311336216673959
"138",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1224,2,2,0.316529530130608
"139",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1225,2,2,0.0277125342016188
"140",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1226,2,2,0.294677064833682
"141",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1227,2,2,0.18276458420923
"142",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1228,2,2,0.247231407694819
"143",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1229,2,2,0.162654806838472
"144",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,122,2,2,0.36658646277053
"145",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1230,2,2,0.274627334196682
"146",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1231,2,2,0.265776788866697
"147",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1232,1,1,0
"148",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1233,1,1,0.0239370503295963
"149",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1234,1,1,0.0154545725696311
"150",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1235,1,1,0.0163124528636242
"151",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1236,1,1,0.0156654148259713
"152",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1237,1,1,0.0192738554663661
"153",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1238,1,1,0.0159642517931247
"154",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1239,1,1,0.0162324291787634
"155",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,123,2,2,0.0208942432124929
"156",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1240,1,1,0.0137618883710379
"157",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1241,1,1,0.395560984078589
"158",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1242,1,1,0.190069462233319
"159",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1243,1,2,0.25149927943137
"160",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1244,1,2,0.0198459465533748
"161",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1245,1,2,0.0183373798276562
"162",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1246,1,2,0.0272474447173181
"163",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1247,1,2,0.0170632952807515
"164",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1248,1,2,0.0167982577464271
"165",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1249,1,2,0.0109221444625251
"166",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,124,2,2,0.356585727223707
"167",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1250,1,2,0.0255338182753505
"168",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1251,1,2,0.0129068778013354
"169",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1252,1,2,0.311597655655135
"170",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1253,1,2,0.299586010613741
"171",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1254,2,1,0.0206831353070226
"172",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1255,2,1,0.013385286020555
"173",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1256,2,1,0.00681502305917991
"174",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1257,2,1,0.0201244935005335
"175",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1258,2,1,0.0100377779998596
"176",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1259,2,1,0.022378680104121
"177",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,125,2,2,0.0195991848029504
"178",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1260,2,1,0.0145101220102093
"179",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1261,2,1,0.0150558202070547
"180",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1262,2,1,0.018850498363815
"181",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1263,2,1,0.0122278758212941
"182",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1264,2,1,0.0222356172610257
"183",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1265,2,2,0.0145220463202341
"184",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1266,2,2,0.0228572747564539
"185",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1267,2,2,0.0165763058612624
"186",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1268,2,2,0.293708818033304
"187",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1269,2,2,0.0165325607971138
"188",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,126,2,2,0.0213001224081099
"189",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1270,2,2,0.0204317091639061
"190",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1271,2,2,0.00851322204663504
"191",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1272,2,2,0.0218900217512487
"192",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1273,2,2,0.246407465669374
"193",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1274,2,2,0.0147180128053356
"194",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1275,2,2,0
"195",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1276,1,1,0.239114152848131
"196",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1277,1,1,0.263759267736945
"197",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1278,1,1,0.00581487067668761
"198",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1279,1,1,0.343979677081384
"199",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,127,2,2,0.0217075429566076
"200",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1280,1,1,0.362715897770301
"201",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1281,1,1,0.220609975252327
"202",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1282,1,1,0.366978893315218
"203",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1283,1,1,0.257949873205242
"204",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1284,1,1,0.253425235040551
"205",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1285,1,1,0.266445105882983
"206",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1286,1,1,0.218789058341613
"207",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1287,1,2,0.004777433624952
"208",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1288,1,2,0.265321410501565
"209",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1289,1,2,0.00601649785892404
